time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
2019-04-12,163.19,166.5,158.11,164.07,316337.88,51556919.15,force_direct,
2019-04-13,162.99,165.37,160.74,163.19,179237.75,29247030.15,force_direct,
2019-04-14,167.23,168.11,161.2,162.99,186977.66,30640985.06,force_direct,
2019-04-15,159.95,168.81,155.7,167.23,351548.91,57215098.11,force_direct,
2019-04-16,165.37,166.73,159.41,159.95,240370.5,39245823.49,force_direct,
2019-04-17,165.75,167.28,163.78,165.37,227841.55,37678036.6,force_direct,
2019-04-18,173.33,175.2,165.04,165.75,396118.94,68031293.23,force_direct,
2019-04-19,172.64,173.55,168.59,173.33,320541.72,54991300.11,force_direct,
2019-04-20,172.88,176.97,169.87,172.64,253596.48,43939979.02,force_direct,
2019-04-21,168.59,173.48,164.82,172.88,283450.44,47781349.4,force_direct,
2019-04-22,170.52,172.3,167.0,168.59,269868.4,45832751.06,force_direct,
2019-04-23,169.16,175.83,167.78,170.52,363523.35,62784241.17,force_direct,
2019-04-24,164.78,169.87,159.26,169.16,426497.04,70076178.28,force_direct,
2019-04-25,154.72,165.49,150.35,164.78,422657.03,67326464.65,force_direct,
2019-04-26,157.95,162.56,151.4,154.72,500355.86,78334214.87,force_direct,
2019-04-27,159.31,166.24,156.35,157.95,215918.64,34294278.0,force_direct,
2019-04-28,157.85,160.24,156.92,159.31,152976.3,24304182.14,force_direct,
2019-04-29,155.11,159.05,152.0,157.85,243591.95,37892463.29,force_direct,
2019-04-30,161.83,162.89,155.11,155.11,305056.25,48352308.35,force_direct,
2019-05-01,160.19,163.88,158.36,161.83,192517.63,30965351.7,force_direct,
2019-05-02,161.81,163.48,158.5,160.19,289519.02,46716417.01,force_direct,
2019-05-03,168.06,170.86,160.99,161.81,416357.52,69185162.6,force_direct,
2019-05-04,163.7,171.3,159.76,168.06,312928.58,51596174.4,force_direct,
2019-05-05,163.05,165.36,159.18,163.7,176029.1,28659516.79,force_direct,
2019-05-06,173.0,178.05,157.55,163.05,506528.14,86112232.48,force_direct,
2019-05-07,169.18,182.76,167.89,173.0,732496.88,129206700.13,force_direct,
2019-05-08,170.85,173.17,164.8,169.18,296436.29,50312349.78,force_direct,
2019-05-09,170.9,173.88,166.57,170.85,284663.99,48482365.54,force_direct,
2019-05-10,172.91,176.7,168.46,170.9,425543.74,73717438.65,force_direct,
